city,st,state,lat,lon,county,zip,bad_lat,bad_lon,distance_miles,geocode_flag
Arley,AL,Alabama,34.08139,-87.21056,Winston,35540-35541,34.115418003984416,-87.11626108710588,5.893766929634872,Review
Ashford,AL,Alabama,31.18389,-85.23528,Houston,36312,31.18389,-85.23528,0.0,OK
Ashland,AL,Alabama,33.27194,-85.83667,Clay,36251,37.188447191801394,-84.18306002495228,285.7238559801935,Bad
Ashville,AL,Alabama,33.837,-86.255,St. Clair,35953,33.837,-86.255,0.0,OK
Athens,AL,Alabama,34.78972,-86.96944,Limestone,35611–35614–35613,34.78972,-86.96944,0.0,OK
Atmore,AL,Alabama,31.02306,-87.49194,Escambia,36502-36504,31.02306,-87.49194,0.0,OK
Attalla,AL,Alabama,34.00972,-86.09833,Etowah,35954,34.02260902195137,-86.05993922567468,2.3757581146456888,Review
Auburn,AL,Alabama,32.59778,-85.48083,Lee,"36830–36832, 36849",34.4417113743453,-80.70919114265978,303.3038187893352,Bad
Autaugaville,AL,Alabama,32.43222,-86.65333,Autauga,36003,32.50120947987654,-86.60772312890454,5.449489539275874,Review
Avon,AL,Alabama,31.18917,-85.27889,Houston,36312,31.223009214984824,-85.24669352430755,3.011611778546848,Review
Babbie,AL,Alabama,31.30028,-86.31917,Covington,,31.36289273912012,-86.22836594047578,6.887939578888163,Review
Baileyton,AL,Alabama,34.26694,-86.60278,Cullman,35019,34.36671838458456,-86.54692263356911,7.583196401472055,Review
Bakerhill,AL,Alabama,31.88495,-85.1539,Barbour,,33.07341550169894,-83.71530347859736,117.32937453713443,Bad
Banks,AL,Alabama,31.81333,-85.84028,Pike,36005,31.81333,-85.84028,0.0,OK
Bay Minette,AL,Alabama,30.88333,-87.77694,Baldwin,36507,30.927675735785588,-87.67728907577839,6.661306490238442,Review
Bayou La Batre,AL,Alabama,30.40306,-88.24806,Mobile,36509,30.40306,-88.24806,0.0,OK
Bear Creek,AL,Alabama,34.27222,-87.70333,Marion,35543,34.34708496374242,-87.6319760667876,6.579066610765769,Review
Beatrice,AL,Alabama,31.73306,-87.20667,Monroe,36425,31.80074656187218,-87.18663030437638,4.810431555148965,Review
Beaverton,AL,Alabama,33.93278,-88.02028,Lamar,35544,34.028623433476895,-87.93145323536596,8.345691549750663,Review
Belk,AL,Alabama,33.64583,-87.93083,Fayette,35545,36.64817445220119,-86.21622247787947,228.59908197211286,Bad
Benton,AL,Alabama,32.30611,-86.8175,Lowndes,36785,32.30611,-86.8175,0.0,OK
Berlin,AL,Alabama,34.18139,-86.74222,Cullman,35058,37.73718797946402,-83.30633915424731,311.70678036194664,Bad
Berry,AL,Alabama,33.65778,-87.60583,Fayette,35546,37.70782320030061,-84.44831387952149,330.8670970865171,Bad
Bessemer,AL,Alabama,33.40167,-86.95444,Jefferson,35020-35023,33.40167,-86.95444,0.0,OK
Billingsley,AL,Alabama,32.66028,-86.71111,Autauga,36006,34.95690422801869,-85.63320303045667,169.99914069744767,Bad
Birmingham,AL,Alabama,33.51861,-86.81028,Jefferson,35201–35298,33.51861,-86.81028,0.0,OK
Black,AL,Alabama,31.01111,-85.74417,Geneva,36314,31.026323264984477,-85.65514913607163,5.384765235089896,Review
Blountsville,AL,Alabama,34.08167,-86.58861,Blount,35031,34.135409141698496,-86.57238087333785,3.819058972680302,Review
Blue Springs,AL,Alabama,31.66417,-85.49583,Barbour,36017,31.66417,-85.49583,0.0,OK
Boaz,AL,Alabama,34.20278,-86.16028,Etowah,35957 and 35956,37.10390951239492,-82.96106562602023,269.0549968317403,Bad
Boligee,AL,Alabama,32.76361,-88.02583,Greene,35443,37.25334216434103,-85.33327823919645,345.0836207519538,Bad
Bon Air,AL,Alabama,33.26361,-86.33361,Talladega,35032,36.420794355117835,-82.41388572364009,311.3739280129313,Bad
Brantley,AL,Alabama,31.58417,-86.25639,Crenshaw,36009,33.83103516520358,-81.27579257335641,328.83287579455464,Bad
Brent,AL,Alabama,32.94,-87.17472,Bibb,35034,32.9965818256932,-87.15382962237184,4.083668142316962,Review
Brewton,AL,Alabama,31.1175,-87.07111,Escambia,36426-36427,33.46984224858982,-83.71787512617107,254.5075182795096,Bad
Bridgeport,AL,Alabama,34.94722,-85.71389,Jackson,35740,36.82808953780624,-84.42991765596388,148.33821352754836,Bad
Brighton,AL,Alabama,33.43889,-86.94528,Jefferson,35020,33.53037780117055,-86.85791281397717,8.07536271528442,Review
Brilliant,AL,Alabama,34.0225,-87.76722,Marion,35548,35.97451853747598,-84.09130888681487,248.134285551883,Bad
Brookside,AL,Alabama,33.63167,-86.91306,Jefferson,35036,35.160917394900096,-82.17100303767732,290.6889883071382,Bad
Brookwood,AL,Alabama,33.23889,-87.31972,Tuscaloosa,35444,33.31950574818617,-87.23704527020101,7.332704424543958,Review
Brundidge,AL,Alabama,31.71917,-85.81806,Pike,36010,33.10689325691529,-83.09385527037449,185.72632951176226,Bad
Butler,AL,Alabama,32.09139,-88.22056,Choctaw,36904,32.167006826451384,-88.1499571907436,6.654570628304694,Review
Calera,AL,Alabama,33.10278,-86.75361,Chilton,35040[4],33.14901591538921,-86.71307276551445,3.959541504330761,Review
Camden,AL,Alabama,31.9988,-87.2957,Wilcox,36726,32.02591880175967,-87.24532478069501,3.4982360832109065,Review
Camp Hill,AL,Alabama,32.79917,-85.65278,Tallapoosa,36850,32.83165258030939,-85.55968609606516,5.861358746004071,Review
Carbon Hill,AL,Alabama,33.89056,-87.52417,Walker,35549,33.89056,-87.52417,0.0,OK
Cardiff,AL,Alabama,33.64528,-86.93278,Jefferson,35041,33.745215422157145,-86.8475375173428,8.459004994390147,Review
Carolina,AL,Alabama,31.23139,-86.52056,Covington,,31.23139,-86.52056,0.0,OK
Carrollton,AL,Alabama,33.26083,-88.09444,Pickens,35447,33.31453770129056,-88.06520274307208,4.069826917855367,Review
Castleberry,AL,Alabama,31.29778,-87.025,Conecuh,36432,31.341887580707922,-86.92632220405983,6.579973266544949,Review
Cedar Bluff,AL,Alabama,34.22056,-85.59583,Cherokee,35959,38.356842407794275,-82.77579653064343,325.7099491940535,Bad
Center Point,AL,Alabama,33.63917,-86.68028,Jefferson,35215,33.63917,-86.68028,0.0,OK
Centre,AL,Alabama,34.15917,-85.67472,Cherokee,35960,34.15917,-85.67472,0.0,OK
Centreville,AL,Alabama,32.95,-87.13444,Bibb,35042,32.98670370429451,-87.03725615715277,6.186118798558945,Review
Chatom,AL,Alabama,31.46139,-88.24778,Washington,36518,31.46139,-88.24778,0.0,OK
Chelsea,AL,Alabama,33.34,-86.63028,Shelby,35043,33.40257598350131,-86.57502346553724,5.367243704063176,Review
Cherokee,AL,Alabama,34.75833,-87.96861,Colbert,35616,34.8548001012947,-87.95139996812834,6.721586993873569,Review
Chickasaw,AL,Alabama,30.76472,-88.08361,Mobile,"36611, 36671",34.14486042580011,-84.38275978558363,317.7492396086019,Bad
Childersburg,AL,Alabama,33.275,-86.35306,Talladega,35044,34.75454645578849,-81.79191074348225,280.91297885089875,Bad
Citronelle,AL,Alabama,31.0925,-88.24417,Mobile,36522,34.47057661413377,-84.76664395867158,308.443940584241,Bad
Clanton,AL,Alabama,32.83972,-86.62806,Chilton,35045-35046,32.83972,-86.62806,0.0,OK
Clay,AL,Alabama,33.7,-86.62278,Jefferson,35048,33.7,-86.62278,0.0,OK
Clayhatchee,AL,Alabama,31.2375,-85.7125,Dale,36322,35.10226720315766,-83.75775618953662,289.4140781792838,Bad
Clayton,AL,Alabama,31.8775,-85.44889,Barbour,36016,31.8775,-85.44889,0.0,OK
Cleveland,AL,Alabama,33.99194,-86.57583,Blount,35049,36.256648785087414,-82.56837203034239,275.440688154743,Bad
Clio,AL,Alabama,31.70972,-85.60667,Barbour,36017,34.542862090474344,-80.61285223658223,349.1673500881816,Bad
Coaling,AL,Alabama,33.16917,-87.34583,Tuscaloosa,"35449, 35453",33.19835388810404,-87.31196196267247,2.8101141941030643,Review
Coffee Springs,AL,Alabama,31.16667,-85.91056,Geneva,36318,31.16667,-85.91056,0.0,OK
Coffeeville,AL,Alabama,31.76111,-88.08889,Clarke,36524,31.785307214912148,-88.00385295408242,5.275582673304315,Review
Coker,AL,Alabama,33.24611,-87.67917,Tuscaloosa,35452,33.24611,-87.67917,0.0,OK
Collinsville,AL,Alabama,34.26528,-85.86139,Cherokee,35961,34.26528,-85.86139,0.0,OK
Colony,AL,Alabama,33.945,-86.89944,Cullman,,38.21341654046185,-84.70192499120009,318.9350154106094,Bad
Columbia,AL,Alabama,31.29222,-85.11194,Houston,36319,31.29222,-85.11194,0.0,OK
Columbiana,AL,Alabama,33.18333,-86.60917,Shelby,35051,34.64504468167641,-85.18102608916233,129.9363676310662,Bad
Coosada,AL,Alabama,32.50417,-86.33389,Elmore,36020,32.56860468443272,-86.2593049031575,6.218348834302235,Review
Cordova,AL,Alabama,33.76,-87.18694,Walker,35550,37.29695183554032,-85.13100439347836,269.94942801595164,Bad
Cottonwood,AL,Alabama,31.05361,-85.30222,Houston,36320,31.05361,-85.30222,0.0,OK
County Line,AL,Alabama,33.81944,-86.72917,Blount,,33.867561819530735,-86.69426877984249,3.876728176374884,Review
Courtland,AL,Alabama,34.66833,-87.31056,Lawrence,35618,38.7528068920785,-83.76210649079448,343.63671755216455,Bad
Cowarts,AL,Alabama,31.19944,-85.30611,Houston,36321,35.16436363339172,-82.09938831549444,330.3930152966489,Bad
Creola,AL,Alabama,30.89528,-88.01472,Mobile,36525,30.91205194740664,-87.92524042460299,5.4394997563662235,Review
Crossville,AL,Alabama,34.28667,-85.99056,DeKalb,35962,34.28667,-85.99056,0.0,OK
Cuba,AL,Alabama,32.43361,-88.37167,Sumter,36907,32.43361,-88.37167,0.0,OK
Cullman,AL,Alabama,34.1775,-86.84472,Cullman,35055-35058,35.68728207712856,-84.61168660027946,164.01094821287697,Bad
Cusseta,AL,Alabama,32.78472,-85.30583,Chambers,36852,32.78472,-85.30583,0.0,OK
Dadeville,AL,Alabama,32.83194,-85.76417,Tallapoosa,36853,32.83194,-85.76417,0.0,OK
Daleville,AL,Alabama,31.30222,-85.71083,Dale,36322,33.30033895689169,-84.29965551331286,160.5451072990824,Bad
Daphne,AL,Alabama,30.63111,-87.88639,Baldwin,36526,30.63111,-87.88639,0.0,OK
Dauphin Island,AL,Alabama,30.25639,-88.12528,Mobile,36528,30.25639,-88.12528,0.0,OK
Daviston,AL,Alabama,33.055,-85.63889,Tallapoosa,36256,37.774524062774695,-81.18046721512015,411.18350895940193,Bad
Dayton,AL,Alabama,32.34972,-87.64111,Marengo,36738,32.34972,-87.64111,0.0,OK
Deatsville,AL,Alabama,32.59389,-86.39333,Elmore,36022,32.670180802457956,-86.35343330788483,5.748825775272405,Review
Decatur,AL,Alabama,34.60583,-86.98333,Limestone,35600-35699,34.60583,-86.98333,0.0,OK
Demopolis,AL,Alabama,32.50944,-87.83722,Marengo,36732,32.50944,-87.83722,0.0,OK
Detroit,AL,Alabama,34.02583,-88.17167,Lamar,35552,38.175328036541885,-86.73928749438818,297.1011939513881,Bad
Dodge,AL,Alabama,0.0,0.0,,,0.0,0.0,0.0,OK
Dora,AL,Alabama,33.72917,-87.09028,Walker,,37.99551642238772,-84.24906706128424,334.5368782803271,Bad
Dothan,AL,Alabama,31.22722,-85.40722,Dale,36301-36305,31.22722,-85.40722,0.0,OK
Double Springs,AL,Alabama,34.15139,-87.40417,Winston,35553,35.24604773880581,-85.63165084668915,125.99914629942285,Bad
Douglas,AL,Alabama,34.17139,-86.31972,Marshall,35964,34.17139,-86.31972,0.0,OK
Dozier,AL,Alabama,31.495,-86.36639,Crenshaw,36028,31.562733356474688,-86.3204189454076,5.3978839991852,Review
Dutton,AL,Alabama,34.6075,-85.91556,Jackson,35744,34.6075,-85.91556,0.0,OK
East Brewton,AL,Alabama,31.09222,-87.05306,Escambia,36426-36427,31.189556054992,-87.02698889654448,6.8813877999239725,Review
Eclectic,AL,Alabama,32.64111,-86.03833,Elmore,36024,32.66086622924932,-85.98921926172919,3.1701875879766765,Review
Edwardsville,AL,Alabama,33.70694,-85.51056,Cleburne,36261,33.77149879679756,-85.45453192462975,5.495945686306659,Review
Elba,AL,Alabama,31.41722,-86.07722,Coffee,36323,31.41722,-86.07722,0.0,OK
Elberta,AL,Alabama,30.41444,-87.59778,Baldwin,36530,34.24958113533668,-86.59101488712548,270.7414575192738,Bad
Eldridge,AL,Alabama,33.91972,-87.62111,Walker,35554,33.91972,-87.62111,0.0,OK
Elkmont,AL,Alabama,34.93,-86.97694,Limestone,35620,34.93,-86.97694,0.0,OK
Elmore,AL,Alabama,32.54222,-86.31528,Elmore,36025,32.558517643001366,-86.24549860835799,4.224578363089888,Review
Emelle,AL,Alabama,32.72972,-88.31417,Sumter,35459,32.81604137515557,-88.23939211632874,7.371279660105022,Review
Enterprise,AL,Alabama,31.3275,-85.84444,Coffee,36330-36331,31.37425536177573,-85.79822396516481,4.224083836528449,Review
Epes,AL,Alabama,32.69028,-88.12417,Sumter,35460,34.19943119623662,-85.44238466490837,186.60185544611446,Bad
Ethelsville,AL,Alabama,33.41333,-88.21528,Pickens,35461,33.41333,-88.21528,0.0,OK
Eufaula,AL,Alabama,31.88917,-85.15361,Barbour,"36027, 36072",31.88917,-85.15361,0.0,OK
Eutaw,AL,Alabama,32.84056,-87.88889,Greene,35462,32.84056,-87.88889,0.0,OK
Eva,AL,Alabama,34.325,-86.7475,Morgan,35621,36.47265486747571,-84.02794740004066,213.2574398565172,Bad
Evergreen,AL,Alabama,0.0,0.0,,,0.0,0.0,0.0,OK
Excel,AL,Alabama,31.42722,-87.34056,Monroe,36439,31.456453126089016,-87.28797324326815,3.7020095101645762,Review
Fairfield,AL,Alabama,33.47667,-86.91667,Jefferson,35064,33.47667,-86.91667,0.0,OK
Fairhope,AL,Alabama,30.52639,-87.89556,Baldwin,36532–36533,31.865572146900487,-84.83375196033914,203.43524544616352,Bad
Fairview,AL,Alabama,34.24861,-86.6875,Cullman,,34.3322681118083,-86.60989756762133,7.2773782283912025,Review
Falkville,AL,Alabama,34.37167,-86.90833,Morgan,35622,34.399591693945396,-86.89613171510459,2.046940943791194,Review
Faunsdale,AL,Alabama,32.45917,-87.59306,Marengo,36738,35.35971537687522,-83.19410922150107,322.22170607931304,Bad
Fayette,AL,Alabama,33.69194,-87.83222,Fayette,35555,36.34970404399088,-84.31315847704916,270.8718515534176,Bad
Five Points,AL,Alabama,33.01694,-85.35111,Chambers,36855,36.802357001962015,-82.37360132395825,310.89084643700045,Bad
Flomaton,AL,Alabama,31.00889,-87.25556,Escambia,36441,34.633122044447134,-86.23338072744788,256.72845233934544,Bad
Florala,AL,Alabama,31.0075,-86.32472,Covington,36442,31.0075,-86.32472,0.0,OK
Florence,AL,Alabama,34.82028,-87.66278,Lauderdale,35630-35634,37.52086477577093,-85.95923327317387,209.13232573612774,Bad
Foley,AL,Alabama,30.40556,-87.68139,Baldwin,36535-36536,30.40556,-87.68139,0.0,OK
Forkland,AL,Alabama,32.6475,-87.86722,Greene,36740,34.64429311863989,-83.47387461059337,288.1772120832763,Bad
Fort Deposit,AL,Alabama,31.98778,-86.57111,Lowndes,36032,31.98778,-86.57111,0.0,OK
Fort Payne,AL,Alabama,34.45361,-85.70639,DeKalb,35967-35968,34.45361,-85.70639,0.0,OK
Franklin,AL,Alabama,32.45528,-85.80278,Macon,,32.45528,-85.80278,0.0,OK
Frisco,AL,Alabama,31.59556,-85.86556,Coffee,,31.59556,-85.86556,0.0,OK
Fruithurst,AL,Alabama,33.73083,-85.43167,Cleburne,36262,33.73083,-85.43167,0.0,OK
Fulton,AL,Alabama,31.79028,-87.73278,Clarke,36446,31.79028,-87.73278,0.0,OK
Fultondale,AL,Alabama,33.615,-86.80111,Jefferson,35068,33.615,-86.80111,0.0,OK
Fyffe,AL,Alabama,34.44667,-85.90639,DeKalb,35971,34.47892157637587,-85.83900047069015,4.443489695690187,Review
Gadsden,AL,Alabama,34.01,-86.01028,Etowah,35901-35907,34.01,-86.01028,0.0,OK
Gainesville,AL,Alabama,32.81722,-88.15778,Sumter,35464,32.83419350184783,-88.12206446642232,2.3846061390022744,Review
Gantt,AL,Alabama,31.4075,-86.48333,Covington,36038,33.68633827367505,-83.32272110992616,242.2265063611591,Bad
Garden,AL,Alabama,0.0,0.0,,,1.9250459189127471,3.775799249196209,292.7132198851516,Bad
Gardendale,AL,Alabama,33.66,-86.81278,Jefferson,35071,33.70668394326999,-86.75394499735465,4.673725080347728,Review
Gaylesville,AL,Alabama,34.26778,-85.55806,Cherokee,35973,34.31559291659961,-85.46662453694938,6.182477084643878,Review
Geiger,AL,Alabama,32.86833,-88.30583,Sumter,35459,32.86833,-88.30583,0.0,OK
Geneva,AL,Alabama,31.03806,-85.87667,Geneva,36340,31.03806,-85.87667,0.0,OK
Georgiana,AL,Alabama,31.64,-86.73917,Butler,36033,31.681658292240463,-86.66135723874466,5.40972325534464,Review
Geraldine,AL,Alabama,34.35361,-86.00389,DeKalb,35974,34.35361,-86.00389,0.0,OK
Gilber,AL,Alabama,0.0,0.0,,,0.0,0.0,0.0,OK
Glen Allen,AL,Alabama,33.89944,-87.73028,Fayette,35559,33.89944,-87.73028,0.0,OK
Glencoe,AL,Alabama,33.95306,-85.93583,Calhoun,35905,35.83074653848575,-83.19248609581345,202.54878946293624,Bad
Glenwood,AL,Alabama,31.6675,-86.17472,Crenshaw,36034,34.01201817479353,-82.45815245988659,269.86799681418404,Bad
Goldville,AL,Alabama,33.08361,-85.78417,Tallapoosa,,33.135675113430906,-85.7626834982447,3.798259911103501,Review
Good Hope,AL,Alabama,34.10861,-86.86694,Cullman,,34.15407182307057,-86.80614472152777,4.686258963796802,Review
Goodwater,AL,Alabama,33.05972,-86.05278,Coosa,35072,36.63071859203734,-84.50998205107774,261.29823905540206,Bad
Gordo,AL,Alabama,33.32139,-87.90361,Pickens,35466,33.365509347776936,-87.87456057442097,3.4739641599694773,Review
Gordon,AL,Alabama,31.14306,-85.09611,Houston,36343,31.14306,-85.09611,0.0,OK
Gordonville,AL,Alabama,32.15306,-86.71167,Lowndes,,32.15306,-86.71167,0.0,OK
Goshen,AL,Alabama,31.71944,-86.12583,Pike,36035,31.736811560948546,-86.11408550416549,1.3823345209509579,Review
Grant,AL,Alabama,34.50278,-86.25528,Marshall,35747,34.50278,-86.25528,0.0,OK
Graysville,AL,Alabama,33.62694,-86.96222,Jefferson,35073,33.62694,-86.96222,0.0,OK
Greensboro,AL,Alabama,32.70222,-87.59611,Hale,36744,32.70222,-87.59611,0.0,OK
Greenville,AL,Alabama,31.83111,-86.6275,Butler,36037,31.83111,-86.6275,0.0,OK
Grimes,AL,Alabama,31.30222,-85.45083,Dale,,32.38374006928133,-83.84130061686083,120.47175340496435,Bad
Grove Hill,AL,Alabama,31.70611,-87.77417,Clarke,36451,35.383945378479645,-84.51829167227991,315.47092387668795,Bad
Guin,AL,Alabama,33.97306,-87.91667,Marion,35563,37.7709198849846,-83.84907760657504,347.28439806765635,Bad
Gulf Shores,AL,Alabama,30.26778,-87.70139,Baldwin,"36542, 36547",33.696769975563726,-83.70968739217886,332.7625624753519,Bad
Guntersville,AL,Alabama,34.34806,-86.29444,Marshall,35976,38.62526469724433,-81.43555690786364,400.0811632981858,Bad
Gurley,AL,Alabama,34.7,-86.37639,Madison,35748,35.802713701989866,-84.12856102242122,148.1047433563557,Bad
Gu-Win,AL,Alabama,33.94944,-87.87167,Fayette,,33.94944,-87.87167,0.0,OK
Hackleburg,AL,Alabama,34.27139,-87.83056,Marion,35564,34.27139,-87.83056,0.0,OK
Haleburg,AL,Alabama,31.40889,-85.13583,Henry,36319,35.17134766373192,-81.62686041759582,329.30597939716216,Bad
Haleyville,AL,Alabama,34.23,-87.61889,Marion,35565,38.31992353980489,-83.21771704364481,373.9299579962835,Bad
Hamilton,AL,Alabama,34.13528,-87.98889,Marion,35570,34.23382599163632,-87.90845281882751,8.207655308472038,Review
Hammondville,AL,Alabama,34.56944,-85.63833,DeKalb,35989,34.612791378859626,-85.58279352892906,4.353396198235389,Review
Hanceville,AL,Alabama,34.06333,-86.76083,Cullman,35077,34.06333,-86.76083,0.0,OK
Harpersville,AL,Alabama,33.32583,-86.42611,Shelby,35078,33.42230088104932,-86.35890734045087,7.70078789264342,Review
Hartford,AL,Alabama,31.10361,-85.69444,Geneva,36344,31.10361,-85.69444,0.0,OK
Hartselle,AL,Alabama,34.44028,-86.94028,Morgan,35640,34.44028,-86.94028,0.0,OK
Hayden,AL,Alabama,33.89333,-86.75694,Blount,35079,33.976067929692604,-86.69850443841966,6.617340397138319,Review
Hayneville,AL,Alabama,32.1825,-86.58056,Lowndes,36040,32.25829235928746,-86.54640440157557,5.5925146007034705,Review
Headland,AL,Alabama,31.35333,-85.33972,Henry,36345,31.35333,-85.33972,0.0,OK
Heath,AL,Alabama,31.35806,-86.47028,Covington,,35.884584736011085,-84.49482624323618,332.0863303958806,Bad
Heflin,AL,Alabama,33.64389,-85.58278,Cleburne,36264,33.64389,-85.58278,0.0,OK
Helena,AL,Alabama,33.27972,-86.85611,Jefferson,35080,33.36630575526812,-86.8297444128558,6.159070668670907,Review
Henagar,AL,Alabama,34.63361,-85.74306,DeKalb,35978,38.82493942731239,-83.38170462734287,317.3109790154557,Bad
Highland Lake,AL,Alabama,33.88417,-86.42222,Blount,35121,33.88417,-86.42222,0.0,OK
Hillsboro,AL,Alabama,34.63806,-87.18833,Lawrence,35643,35.678664457754714,-82.39607968889187,280.59930294511076,Bad
Hobson,AL,Alabama,0.0,0.0,,,3.880298656416777,2.9543113873951494,335.8233488754453,Bad
Hodges,AL,Alabama,34.33028,-87.9275,Franklin,35571,34.33028,-87.9275,0.0,OK
Hokes Bluff,AL,Alabama,34.0,-85.867,Etowah,35903,34.08136395813191,-85.84862519845008,5.706209729032922,Review
Holly Pond,AL,Alabama,34.17472,-86.61694,Cullman,35083,37.94186862118081,-84.39211587947965,288.029618791242,Bad
Hollywood,AL,Alabama,34.71694,-85.96556,Jackson,35752,34.77472297380312,-85.91726465685653,4.839050771520389,Review
Homewood,AL,Alabama,33.46833,-86.80806,Jefferson,"35209, 35219, 35259, 35226",33.54158694479672,-86.77367752157214,5.424995963471084,Review
Hoover,AL,Alabama,33.38639,-86.805,Jefferson,"35216, 35226, 35236, 35242, 35244",34.869013539009224,-85.03466282619394,144.00798454945163,Bad
Horn Hill,AL,Alabama,31.24056,-86.31917,Covington,,34.384015861535,-82.27041156206359,319.9918923834286,Bad
Huey,AL,Alabama,0.0,0.0,,,1.8655385595144227,2.936794348850835,240.16839930208687,Bad
Huntsville,AL,Alabama,34.73,-86.585,Limestone,"35649, 35749, 35748, 35754, 35756, 35757, 35671, 35741, 35762, 35763, 35773, 35801–35816, 35824, 35893-35899",34.73,-86.585,0.0,OK
Hurtsboro,AL,Alabama,32.24,-85.41528,Russell,36860,32.25904734972817,-85.3878094179718,2.0760518161833494,Review
Hytop,AL,Alabama,34.90472,-86.08667,Jackson,35768,36.62248617474161,-85.03007653097575,132.47608839865188,Bad
Ider,AL,Alabama,34.70389,-85.67389,DeKalb,35981,34.80157654379925,-85.61408769298812,7.544532176503148,Review
Indian Springs,AL,Alabama,33.36806,-86.74111,Shelby,35124,33.45622150775367,-86.68693091749287,6.835343045009971,Review
Irondale,AL,Alabama,33.53194,-86.68694,Jefferson,35210,33.53194,-86.68694,0.0,OK
Jackson,AL,Alabama,31.52167,-87.89111,Clarke,"36501, 36515, 36545",31.548262730335107,-87.87648609545347,2.0252107831673616,Review
Jacksons' Gap,AL,Alabama,32.88167,-85.81861,Tallapoosa,36861,32.96566040807695,-85.77254633019733,6.377115631594549,Review
Jacksonville,AL,Alabama,33.81583,-85.76056,Calhoun,36265,37.33361282780799,-84.54612370282986,251.97686758958025,Bad
Jasper,AL,Alabama,33.84222,-87.27722,Walker,35501-35504,37.09357838833825,-85.0618779526311,256.59924299174355,Bad
Jemison,AL,Alabama,32.95889,-86.74361,Chilton,35085,33.03768991007935,-86.67904141138814,6.599035424670242,Review
Kansas,AL,Alabama,33.90306,-87.55667,Walker,35573,33.960091528161726,-87.50612369816001,4.887132502112258,Review
Kellyton,AL,Alabama,32.97972,-86.03361,Coosa,,32.97972,-86.03361,0.0,OK
Kennedy,AL,Alabama,33.58056,-87.98389,Lamar,35574,33.64645245889649,-87.91902321789794,5.883400857541031,Review
Killen,AL,Alabama,34.86167,-87.52944,Lauderdale,35645,34.86167,-87.52944,0.0,OK
Kimberly,AL,Alabama,33.77111,-86.79528,Jefferson,35091,35.61521078122157,-83.15356745123186,243.17678198164015,Bad
Kinsey,AL,Alabama,31.29167,-85.34556,Houston,36303,32.98692419330574,-84.04530052439533,139.47843257579666,Bad
Kinston,AL,Alabama,31.22056,-86.17083,Coffee,36453,34.02257481847081,-82.79558521952174,275.6858864097206,Bad
La Fayette,AL,Alabama,32.89833,-85.40056,Chambers,36862,34.8242349382241,-81.57273668048387,256.99085071703706,Bad
Lakeview,AL,Alabama,34.39222,-85.97333,DeKalb,,34.46408464280641,-85.88017800599657,7.269429706061952,Review
Lake View,AL,Alabama,33.28,-87.13861,Tuscaloosa,,33.28,-87.13861,0.0,OK
Lanett,AL,Alabama,32.86333,-85.19972,Chambers,36863,32.86333,-85.19972,0.0,OK
Langston,AL,Alabama,34.53472,-86.08222,Jackson,35755,34.53472,-86.08222,0.0,OK
Leeds,AL,Alabama,33.54556,-86.5575,Jefferson,35094,33.54556,-86.5575,0.0,OK
Leesburg,AL,Alabama,34.1825,-85.76889,Cherokee,35983,34.20743305102986,-85.73120493686471,2.758970658892765,Review
Leighton,AL,Alabama,34.69972,-87.53083,Colbert,35646,34.69972,-87.53083,0.0,OK
